Cast Type,Person ID,Lead,Season Type,Season,First Name,Last Name,Age,Occupation (Raw),Occupation (Clean),Occupation Group,Week Number Eliminated,Place,Circumstance,Bachelor Pad 1,Bachelor Pad 2,Bachelor Pad 3,BiP 1,BiP 2,BiP 3,BiP 4,BiP 5,BiP 6,Bachelor Winter Games,Total Ensemble Appearances,Hometown,State,Lead Religion,Lead Race,How Season Ended,Relationship Status (Nov 2021)
Contestant,1,Aaron Buerge,Bachelor,Bachelor 2,Amber,West,26,Psychologist,Psychologist,Health & Medical Professional,Week 1,16,,,,,,,,,,,,0,Chapel Hill,North Carolina,,,,
Contestant,2,Aaron Buerge,Bachelor,Bachelor 2,Angela,,27,Registered Nurse,Registered Nurse,Health & Medical Professional,Week 5,4,,,,,,,,,,,,0,Kansas City,Missouri,,,,
Contestant,3,Aaron Buerge,Bachelor,Bachelor 2,Anindita,Dutta,27,Attorney,Attorney,Lawyers & Legal Services,Week 2,15,Quit,,,,,,,,,,,0,New York,New York,,,,
Contestant,4,Aaron Buerge,Bachelor,Bachelor 2,Brooke,Smith,22,College Student,College Student,Student (General),Runner-up,2,,,,,,,,,,,,0,Albertville,Alabama,,,,
Contestant,5,Aaron Buerge,Bachelor,Bachelor 2,Camille,Langfield,29,Actress,Actor,Modeling & Acting,Week 1,17,,,,,,,,,,,,0,Los Angeles,California,,,,
Contestant,6,Aaron Buerge,Bachelor,Bachelor 2,Cari,,29,3rd Grade Teacher,3rd Grade Teacher,Teaching,Week 1,18,,,,,,,,,,,,0,Granite City,Illinois,,,,
Contestant,7,Aaron Buerge,Bachelor,Bachelor 2,Christi,Weible,23,Assistant Financial Advisor,Assistant Financial Advisor,Financial Services & Investing,Week 3,7,,,,,,,,,,,,0,Boise,Idaho,,,,
Contestant,8,Aaron Buerge,Bachelor,Bachelor 2,Christy,,24,Radiological Technologist,Radiological Technologist,Health & Medical Professional,Week 1,19,,,,,,,,,,,,0,Avondale,Arizona,,,,
Contestant,9,Aaron Buerge,Bachelor,Bachelor 2,Dana,Norris,24,Radio Sales,Radio Sales,Sales,Week 2,11,,,,,,,,,,,,0,Beverly Hills,California,,,,
Contestant,10,Aaron Buerge,Bachelor,Bachelor 2,Erin,,25,Publications Quality Control,Publications Quality Control,Media & Journalism,Week 2,12,,,,,,,,,,,,0,West Chester,Pennsylvania,,,,
Contestant,11,Aaron Buerge,Bachelor,Bachelor 2,Erin,,24,Interior Designer,Interior Designer,Real Estate & Interior Design,Week 1,20,,,,,,,,,,,,0,Houston,Texas,,,,
Contestant,12,Aaron Buerge,Bachelor,Bachelor 2,Fatima,Rivas,22,College Student,College Student,Student (General),Week 1,21,,,,,,,,,,,,0,Long Beach,California,,,,
Contestant,13,Aaron Buerge,Bachelor,Bachelor 2,Frances,Dinglasan,30,Strategic Planning Analyst,Strategic Planning Analyst,Business & Entrepreneurship,Week 2,14,Quit,,,,,,,,,,,0,San Francisco,California,,,,
Contestant,14,Aaron Buerge,Bachelor,Bachelor 2,Gwen,Gioia,31,Executive Recruiter,Executive Recruiter,Human Resources & Recruiting,Week 6,3,,1,,,,,,,,,,1,Philadelphia,Pennsylvania,,,,
Contestant,15,Aaron Buerge,Bachelor,Bachelor 2,Hayley,Crittenden,28,Retail Manager,Retail Manager,Fashion Design & Retail,Week 4,5,,,,,,,,,,,,0,Lake Oswego,Oregon,,,,
Contestant,16,Aaron Buerge,Bachelor,Bachelor 2,Heather,Cranford,30,Flight Attendant,Flight Attendant,Aviation,Week 4,6,,,,,,,,,,,,0,Dallas,Texas,,,,
Contestant,17,Aaron Buerge,Bachelor,Bachelor 2,Heather,,24,Marriage Therapy Trainee,Marriage Therapy Trainee,Health & Medical Professional,Week 3,8,,,,,,,,,,,,0,Walnut Creek,California,,,,
Contestant,18,Aaron Buerge,Bachelor,Bachelor 2,Helene,Eksterowicz,27,School Psychologist,School Psychologist,Educational Administration,Winner,1,,,,,,,,,,,,0,Gloucester,New Jersey,,,,
Contestant,19,Aaron Buerge,Bachelor,Bachelor 2,Kyla,Dickerson,22,Airline Supervisor,Airline Supervisor,Aviation,Week 3,9,,,,,,,,,,,,0,Midvale,Utah,,,,
Contestant,20,Aaron Buerge,Bachelor,Bachelor 2,Liangy,Fernandez,30,Paralegal,Paralegal,Lawyers & Legal Services,Week 1,22,,,,,,,,,,,,0,Coral Gables,Florida,,,,
Contestant,21,Aaron Buerge,Bachelor,Bachelor 2,Lori,,26,Former NBA Cheerleader,Former NBA Cheerleader,Professional Athletics,Week 1,23,,,,,,,,,,,,0,Dallas,Texas,,,,
